Strategy,F1-Score,Recall,Precision,AUC-ROC
No resampling,0.9727580135259514,0.97233,0.9731864040355512,0.9949975313499999
Class weight (scale_pos_weight),0.9713799063196653,0.96951,0.9732570396024695,0.9951729204500002
SMOTE oversampling,0.9727580135259514,0.97233,0.9731864040355512,0.9949975313499999
